player name,td,int
John Skelton,Kevin Kolb,Richard Bartel,Matt Ryan,Chris Redman,Joe Flacco,Tyrod Taylor,Ryan Fitzpatrick,Tyler Thigpen,Cam Newton*,Armanti Edwards,Jay Cutler,Caleb Hanie,Josh McCown,Andy Dalton*,Bruce Gradkowski,Colt McCoy,Seneca Wallace,Tony Romo,Stephen McGee,Jon Kitna,Tim Tebow,Kyle Orton,Matthew Stafford,Shaun Hill,Aaron Rodgers*+,Matt Flynn,Matt Schaub,T.J. Yates,Jake Delhomme,Matt Leinart,Curtis Painter,Dan Orlovsky,Kerry Collins,Blaine Gabbert,Luke McCown,Matt Cassel,Tyler Palko,Kyle Orton,Philip Rivers*,Sam Bradford,A.J. Feeley,Kellen Clemens,Tom Brandstater,Carson Palmer,Jason Campbell,Kyle Boller,Matt Moore,Chad Henne,J.P. Losman,Christian Ponder,Donovan McNabb,Joe Webb,Tom Brady*,Brian Hoyer,Drew Brees*,Chase Daniel,Eli Manning*,Mark Sanchez,Mark Brunell,Michael Vick,Vince Young,Mike Kafka,Ben Roethlisberger*,Charlie Batch,Tarvaris Jackson,Charlie Whitehurst,Alex Smith,Colin Kaepernick,Josh Freeman,Josh Johnson,Matt Hasselbeck,Jake Locker,Rex Grossman,John Beck
11,9,1,29,0,20,0,24,0,21,0,13,3,2,20,1,14,2,31,1,1,12,8,41,0,45,6,15,3,1,1,6,6,2,12,0,10,2,1,27,6,1,2,0,13,6,0,16,4,0,13,4,3,39,0,46,0,29,26,0,18,4,0,21,0,14,1,17,0,16,1,18,4,16,2
14,8,1,12,1,12,0,23,1,17,0,7,9,4,13,1,11,2,10,0,2,6,7,16,0,6,2,6,3,0,0,9,4,1,11,4,9,7,2,20,6,2,1,0,16,4,3,9,4,0,13,2,2,12,0,14,0,16,18,0,14,9,2,14,1,13,1,5,0,22,2,14,0,20,4
